word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
DaSer; naughty;Adjective;;;DaSra;DaSrin;DaSat;;; داسر  ; [sound:darija_710.mp3];
mrebbi; well behaved;Adjective;;;mrebbya;mrebbyin;mrebbyat;;; مربي  ; [sound:darija_711.mp3];
3Ta; to give;Verb;;3Ti;;;;;; عطى  ; [sound:darija_712.mp3];
sellef; to lend;Verb;;sellef;;;;sellfat lia tonobiltha.;She lent me her car.; سلف  ; [sound:darija_756.mp3];
tsellef; to borrow;Verb;;tsellef;;;;tselleft bezzaf tel fluss mn 3end lbanka.;I borrowed a lot of money from the bank.; تسلف  ; [sound:darija_757.mp3];
lubya; beans;Noun;lubya;;;;;;; لوبيا  ; [sound:darija_715.mp3];
khyara; cucumber;Noun;khyar;;;;;;; خيارة  ; [sound:darija_716.mp3];
khizzu; carrot;Noun;khizzu/khizzuat;;;;;;; خيزو  ; [sound:darija_717.mp3];
btata; potatoe;Noun;btata;;;;;;; بطاطا  ; [sound:darija_718.mp3];
tffa7a; apple;Noun;teffa7;;;;;;; تفاحة  ; [sound:darija_719.mp3];
freza; strawberry;Noun;frez;;;;;;; فريزة  ; [sound:darija_720.mp3];
7eb lmluk; cherry;Noun;7eb lmluk;;;;;;; حب الملوك  ; [sound:darija_721.mp3];
bu3wida; pear;Noun;bu3wid;;;;;;; بوعويدة  ; [sound:darija_722.mp3];
della7a;watermelon;Noun;della7;;;;;;;دلاحة; [sound:darija_723.mp3];
bTTikha; melon;Noun;bTTikh;;;;;;; بطيخة  ; [sound:darija_724.mp3];
3neb; grapes;Noun;3neb;;;;;;; عنب  ; [sound:darija_725.mp3];
felfla; pepper;Noun;felfla;;;;;;; فلفلة  ; [sound:darija_726.mp3];
kamun; cumin;Noun;kamun;;;;;;; كامون  ; [sound:darija_727.mp3];
denjala; eggplant;Noun;denjal;;;;;;; دنجالة  ; [sound:darija_728.mp3];
ger3a khdra;zucchini;Noun;ger3a khdra;;;;;;;قرعة خضرا; [sound:darija_729.mp3];
ger3a; pumpkin;Noun;ger3a;;;;;;;قرعة  ; [sound:darija_730.mp3];
jbel; mountain;Noun;jbula;;;;;;; جبل  ; [sound:darija_731.mp3];
wad; river;Noun;widan;;;;;;; واد  ; [sound:darija_732.mp3];
khukha; peach;Noun;khukh;;;;;;; خوخة  ; [sound:darija_733.mp3];
che3ra; hair (head);Noun;ch3er ch3urat;;;;;;;شعرة; [sound:darija_734.mp3];
ber9u9a;plum;Noun;ber9u9;;;;;;; برقوقة  ; [sound:darija_735.mp3];
zzbib;raisins;Noun;zzbib;;;;;;; زبيب  ; [sound:darija_736.mp3];
se7ra;desert;Noun;SSa7ari;;;;;;; صحرا; [sound:darija_737.mp3];
avoka; avocado;Noun;lavoka;;;;;;;أفوكا  ; [sound:darija_738.mp3];
temra; date;Noun;tmer;;;;;;; تمرة  ; [sound:darija_739.mp3];
9ezbur; coriander;Noun;9ezbur;;;;;;; قزبور  ; [sound:darija_740.mp3];
me3dnus; parsley;Noun;me3dnus;;;;;;; معدنوس  ; [sound:darija_741.mp3];
chiba; absinth;Noun;chiba;;;;;;; شيبة  ; [sound:darija_742.mp3];
